English,German
toy,Spielzeug
bar,Bar
beach,Strand
birth,Geburt
curl,Locken
dirt,Schmutz
excuse,Entschuldigung
hat,Hut
lake,See
lord,Herr
lovely,schön
monster,Monster
order,Befehl
pack,Pack
pants,Hose
pool,Schwimmbad
scene,Szene
seven,Sieben
shame,Scham
shouldn't,sollte nicht
slide,gleiten
ugly,hässlich
whom,dem
among,unter
blade,Klinge
blonde,blond
closet,Kleiderschrank
creek,Bach
deny,leugnen
drug,Arzneimittel
eternity,Ewigkeit
gain,gewinnen
grade,Grad
handle,handhaben
key,Schlüssel
linger,verweilen
pale,blass
prepare,vorbereiten
swallow,schlucken
swim,schwimmen
torn,zerrissen
tremble,zittern
wheel,Rad
won,gewonnen
cast,gießen
cigarette,Zigarette
claim,beanspruchen
college,Hochschule
direction,Richtung
dirty,schmutzig
gather,versammeln
ghost,Geist
hundred,hundert
loss,Verlust
lung,Lunge
orange,orange
present,gegenwärtig
swear,schwören
swirl,Strudel
twice,zweimal
wild,wild
bitter,bitter
blanket,Decke
case,Fall
doctor,Arzt
everywhere,überall
flash,Blitz
grown,gewachsen
knowledge,Wissen
numb,betäuben
pressure,Druck
radio,Radio
repeat,wiederholen
ruin,Ruine
spend,ausgeben
unknown,Unbekannt
buy,kaufen
clock,Uhr
devil,Teufel
early,früh
FALSE,FALSCH
fantasy,Fantasie
pound,Pfund
precious,wertvoll
refuse,verweigern
sheet,Blatt
shell,Hülse
spoke,gesprochen
teeth,Zähne
welcome,Willkommen
add,hinzufügen
ahead,voraus
block,Block
bury,begraben
caress,streicheln
content,Inhalt
depth,Tiefe
despite,trotz
distant,entfernt
marry,heiraten
purple,lila
they'll,sie werden
threw,warf
thus,daher
tone,Ton
whenever,Wann immer
bomb,Bombe
dull,langweilig
easily,leicht
grasp,fassen
hospital,Krankenhaus
innocence,Unschuld
normal,normal
receive,erhalten
reply,Antwort
rhyme,Reim
shade,Schatten
someday,irgendwann mal
sword,Schwert
toe,Zehe
visit,besuchen
asleep,schlafend
bell,Glocke
bought,gekauft
center,Center
consider,halten
flat,Wohnung
hero,Held
history,Geschichte
ink,Tinte
insane,verrückt
muscle,Muskel
mystery,Geheimnis
pocket,Tasche
reflection,Betrachtung
shove,schieben
silently,schweigend
smart,schlau
soldier,Soldat
spot,Stelle
stress,Stress
train,Zug
type,Typ
view,Sicht
whether,ob
bus,Bus
energy,Energie
explain,erklären
holy,heilig
hunger,Hunger
inch,Zoll
it'll,es wird
lean,mager
magic,Magie
mix,mischen
noise,Lärm
nowhere,nirgends
prayer,Gebet
presence,Gegenwart
shock,Schock
snap,Schnappnahme
spider,Spinne
study,Studie
thunder,Donner
trail,Pfad
admit,zugeben
agree,zustimmen
bag,Tasche
bang,Knall
bound,gebunden
butterfly,Schmetterling
Christmas,Weihnachten
cute,Niedlich
exactly,genau
explode,explodieren
familiar,vertraut
flew,geflogen
fold,falten
further,weiter
lit,zündete
pierce,Pierce
reflect,reflektieren
scent,Duft
selfish,egoistisch
sell,verkaufen
sex,Sex
sharp,scharf
sink,Waschbecken
spring,Frühling
stumble,stolpern
universe,Universum
we'd,heiraten
weep,weinen
women,Frauen
wonderful,wunderbar
action,Aktion
ancient,uralt
attempt,versuchen
avoid,vermeiden
birthday,Geburtstag
branch,Zweig
chocolate,Schokolade
core,Kern
depress,deprimieren
drunk,betrunken
especially,besonders
focus,Fokus
fruit,Obst
honest,ehrlich
match,übereinstimmen
Mr.,Herr.
palm,Palme
perfectly,perfekt
pillow,Kissen
piss,Piss
pity,Mitleid
poison,Gift
roar,brüllen
shift,Schicht
slightly,leicht
thump,Schlag
truck,LKW
tune,Melodie
twenty,zwanzig
unable,unfähig
wipe,wischen
wrote,schrieb
American,amerikanisch
bow,Bogen
coat,Mantel
constant,Konstante
dinner,Abendessen
drove,Gefahren
egg,Ei
eternal,ewig
flight,Flug
flood,Flut
frame,rahmen
freak,Freak
gasp,keuchen
glad,froh
hollow,hohl
motion,Bewegung
peer,Peer
plastic,Plastik
root,Wurzel
screen,Bildschirm
season,Jahreszeit
sting,Stachel
strike,schlagen
team,Team
unlike,nicht wie
victim,Opfer
volume,Volumen
warn,warnen
weird,seltsam
attack,Attacke
await,erwarten
awake,wach
built,gebaut
charm,Charme
crave,sich sehnen
despair,verzweifeln
fought,gekämpft
grant,gewähren
grief,Kummer
horse,Pferd
limit,Grenze
message,Nachricht
ripple,Ripple
sanity,Vernunft
scatter,streuen
serve,Aufschlag
split,Teilt
string,Saite
trick,Trick
whore,Hure
annoy,belästigen
blur,verwischen
boat,Boot
brave,mutig
clearly,deutlich
cling,haften
connect,verbinden
fist,Faust
forth,weiter
ha,Ha
hip,Hüfte
imagination,Vorstellung
iron,Eisen
jock,Jock
judge,Richter
lesson,Lektion
milk,Milch
misery,Elend
nail,Nagel
naked,nackt
ourselves,uns selbst
poet,Dichter
possible,möglich
princess,Prinzessin
sail,Segel
seed,Samen
size,Größe
snake,Schlange
society,Gesellschaft
stroke,Schlaganfall
tip,Tipp
torture,Folter
toss,werfen
trace,verfolgen
wise,weise
bloom,blühen
bullet,Kugel
cell,Zelle
check,überprüfen
cost,kosten
darling,Schatz
during,während
footstep,Schritt
fragile,zerbrechlich
hallway,Flur
hardly,kaum
horizon,Horizont
invisible,unsichtbar
journey,Reise
midnight,Mitternacht
mood,Stimmung
mud,Dreck
nod,nicken
pause,Pause
relax,entspannen
shiver,Schauer
sudden,plötzlich
thee,dich
value,Wert
youth,Jugend
abuse,Missbrauch
admire,bewundern
blink,blinken
breast,Brust
bruise,Prellung
constantly,ständig
couple,Paar
creep,kriechen
curve,Kurve
difference,Unterschied
dumb,dumm
emptiness,Leere
gotta,muss
honor,Ehre
plain,schmucklos
planet,Planet
recall,abrufen
rub,reiben
ship,Schiff
slam,zuschlagen
soar,steigen
somebody,jemand
spit,Spucke
tightly,dicht
TV,Fernseher
weather,Wetter
adore,verehren
approach,Ansatz
bond,Bindung
bread,brot
burst,platzen
candle,Kerze
cave,Höhle
coffee,Kaffee
cousin,Cousin
crime,Verbrechen
desert,Wüste
flutter,flattern
frozen,gefroren
grand,Grand
hadn't,hatte nicht
heel,Hacke
hello,Hallo
language,Sprache
level,Ebene
luck,Glück
movement,Bewegung
pleasure,Vergnügen
powerful,kraftvoll
random,zufällig
rhythm,Rhythmus
settle,siedeln
silly,dumm
slap,schlagen
sort,Sortieren
spoken,gesprochen
steel,Stahl
tail,Schwanz
threaten,drohen
tumble,Sturz
upset,verärgern
aside,beiseite
awkward,unangenehm
bee,Biene
bend,biegen
blank,leer
board,Planke
button,Taste
card,Karte
carefully,sorgfältig
complain,beschweren
crap,Mist
crown,Krone
deeply,tief
discover,entdecken
dive,tauchen
drag,ziehen
dread,Furcht
effort,Bemühung
entire,gesamte
fairy,Fee
giant,Riese
gotten,bekommen
greet,grüßen
illusion,Illusion
jeans,Jeans
leap,Sprung
liquid,flüssig
march,Marsch
mend,heilen
nervous,nervös
nine,neun
pace,Tempo
replace,ersetzen
rope,Seil
spine,Wirbelsäule
stole,Stahl
terror,Terror
accident,Unfall
apple,Apfel
balance,Gleichgewicht
bet,Wette
boom,Boom
childhood,Kindheit
collect,sammeln
cook,kochen
demand,Nachfrage
depression,Depression
eight,acht
eventually,letztlich
faint,schwach
gate,Tor
glare,Blendung
goal,Ziel
group,Gruppe
honey,Honig
kitchen,Küche
laid,gelegt
limb,Glied
machine,Maschine
mere,bloß
mold,Schimmel
murder,Mord
nerve,Nerv
painful,schmerzlich
pin,Stift
poetry,Poesie
prince,Prinz
rabbit,Kaninchen
sake,willen
seal,Siegel
seep,sickern
shelter,Unterschlupf
shop,Geschäft
shore,Ufer
shower,Dusche
soothe,beruhigen
stair,Treppe
steady,stetig
sunlight,Sonnenlicht
tangle,Gewirr
tease,necken
treasure,Schatz
uncle,Onkel
wine,Wein
begun,begonnen
bliss,Wonne
bush,Busch
canvas,Leinwand
cheer,jubeln
claw,Klaue
clutch,Kupplung
commit,begehen
crimson,Purpurer
crystal,Kristall
cure,Heilung
delight,Freude
dip,tauchen
doll,Puppe
ease,Leichtigkeit
existence,Existenz
express,äußern
fog,Nebel
football,Fußball
gay,Fröhlich
goose,Gans
guard,bewachen
hatred,Hass
illuminate,erleuchten
mass,Masse
math,Mathematik
mourn,trauern
pot,Topf
ray,Strahl
rich,reich
rough,rauh
skip,überspringen
stir,Aufsehen
student,Student
style,Stil
support,Unterstützung
thorn,Dorn
tick,Tick
tough,hart
wore,trug
yard,Hof
yearn,sich sehnen
yesterday,gestern
advice,Beratung
appreciate,anerkennen
autumn,Herbst
bank,Bank
beam,Strahl
bowl,Schüssel
capture,erfassen
carve,schnitzen
chose,ausgewählt
collapse,Zusammenbruch
confusion,Verwirrung
creation,Schaffung
dove,Taube
feather,Feder
girlfriend,Freundin
glory,Ruhm
government,Regierung
harsh,harsch
hop,hüpfen
inner,innere
loser,Verlierer
meal,Mahlzeit
moonlight,Mondlicht
neighbor,Nachbar
neither,weder
peach,Pfirsich
pig,Schwein
praise,Lob
screw,schrauben
shield,Schild
shimmer,schimmern
sneak,schleichen
stab,stechen
subject,Thema
Sunday,Sonntag
sweep,fegen
throughout,hindurch
thrown,geworfen
tower,Turm
twirl,drehen
woke,erwachte
wow,Wow
army,Armee
arrive,ankommen
bathroom,Badezimmer
bump,stoßen
cease,aufhören
cookie,Plätzchen
couch,Couch
courage,Mut
dim,schwach
guilt,Schuld
howl,heulen
hum,summen
husband,Ehemann
insult,Beleidigung
led,LED
lunch,Mittagessen
mock,verspotten
mostly,meistens
natural,natürlich
nearly,fast
needle,Nadel
nerd,Nerd
peaceful,friedlich
perfection,Perfektion
pile,Haufen
price,Preis
remove,entfernen
roam,durchstreifen
sanctuary,Zuflucht
serious,ernst
shiny,glänzend
shook,schüttelt
sob,Schluchzen
stolen,gestohlen
tap,klopfen
vain,vergeblich
void,Leere
warrior,Krieger
wrinkle,Falten
affection,Zuneigung
apologize,sich entschuldigen
band,Band
bind,binden
blossom,Blüte
bounce,prallen
bridge,Brücke
bye,Tschüss
cheap,billig
cliché,Klischee
crumble,zerbröckeln
decision,Entscheidung
descend,absteigen
desperately,verzweifelt
dig,graben
dot,Punkt
flaw,Mangel
flip,Flip
frighten,erschrecken
heartbeat,Herzschlag
huge,riesig
lazy,faul
lick,lecken
lower,untere
odd,seltsam
opinion,Meinung
process,Verfahren
puzzle,Puzzle
quietly,ruhig
retreat,Rückzug
rot,verrotten
score,Punktzahl
sentence,Satz
separate,separate
situation,Situation
skill,Fähigkeit
soak,einweichen
square,Quadrat
stray,streunend
taint,verderben
task,Aufgabe
they've,Sie haben
tide,Tide
underneath,darunter
veil,Schleier
whistle,Pfeife
anywhere,überall
bedroom,Schlafzimmer
bid,Gebot
bloody,blutig
boot,Stiefel
burden,Last
careful,vorsichtig
compare,vergleichen
concern,Sorge
could've,könnte
curtain,Vorhang
decay,Verfall
defeat,Verlust
describe,beschreiben
double,doppelt
dreamer,Träumer
driver,Treiber
dwell,verweilen
evening,Abend
flare,Fackel
flicker,flackern
grandma,Oma
guitar,Gitarre
harm,Schaden
hid,versteckt
horrible,schrecklich
hung,aufgehängt
hungry,hungrig
indeed,In der Tat
lace,Spitze
melody,Melodie
monkey,Affe
nation,Nation
object,Objekt
obviously,offensichtlich
pit,Grube
rainbow,Regenbogen
salt,Salz
scratch,kratzen
shown,gezeigt
shy,schüchtern
stage,Bühne
stun,betäuben
third,dritte
tickle,kitzeln
useless,nutzlos
weakness,Schwäche
worship,Verehrung
worthless,wertlos
afternoon,Nachmittag
beard,Bart
boyfriend,Freund
bubble,Blase
busy,beschäftigt
certain,bestimmt
chin,kinn
concrete,Beton
desk,Schreibtisch
diamond,Diamant
doom,Untergang
drawn,gezeichnet
due,fällig
felicity,Glückseligkeit
freeze,einfrieren
frost,Frost
garden,Garten
glide,gleiten
harmony,Harmonie
hi,Hi
hopefully,hoffentlich
hunt,Jagd
it'd,es würde
jealous,eifersüchtig
lightning,Blitz
mama,Mutter
mercy,Barmherzigkeit
peel,schälen
physical,physisch
position,Position
pulse,Impuls
punch,schlagen
quit,aufhören
rant,schimpfen
respond,antworten
salty,salzig
sane,vernünftig
satisfy,erfüllen
savior,Retter
sheep,Schaf
slept,habe geschlafen
social,Sozial
sore,wund
sport,Sport
tuck,stecken
utter,ausstatten
valley,Schlucht
wolf,Wolf
aid,Hilfe
aim,Ziel
alas,Ach
alter,ändern
America,Amerika
arrow,Pfeil
awaken,wecken
beaten,geschlagen
belief,Glauben
brand,Marke
ceiling,Decke
cheese,Käse
clue,Hinweis
confidence,Vertrauen
connection,Verbindung
daily,täglich
disguise,Verkleidung
eager,erpicht
erase,löschen
essence,Wesen
everytime,jedes Mal
expression,Ausdruck
fan,Lüfter
flag,Flagge
flirt,Flirt
foul,Foul
fur,Fell
giggle,kichern
glorious,herrlich
hers,ihres
ignorance,Ignoranz
law,Gesetz
lifeless,leblos
measure,messen
mighty,mächtig
muse,Muse
north,Norden
opposite,Gegenteil
paradise,Paradies
patience,Geduld
patient,geduldig
pencil,Bleistift
petal,Blütenblatt
plane,Flugzeug
plate,Platte
ponder,überlegen
possibly,möglicherweise
practice,üben
slice,Scheibe
slut,Schlampe
spell,Fluch
stock,Aktie
strife,Streit
strip,Streifen
struck,geschlagen
suffocate,ersticken
suit,Anzug
tender,zart
tool,Werkzeug
trade,Handel
velvet,Samt
verse,Vers
waist,Taille
witch,Hexe
worn,getragen
ah,Ah
aunt,Tante
bay,Bucht
bench,Bank
bold,deutlich
cap,Deckel
certainly,sicherlich
click,klicken
companion,Begleiter
condom,Kondom
creator,Schöpfer
dart,Pfeil
delicate,empfindlich
determine,bestimmen
dish,Gericht
dragon,Drachen
drama,Theater
drum,Trommel
dude,Alter
everybody,alle
feast,Fest
forehead,Stirn
former,ehemalig
fright,Schreck
fully,völlig
gas,Gas
gut,Darm
hook,Haken
hurl,schleudern
ill,krank
invite,einladen
juice,Saft
manage,verwalten
moral,Moral
pill,Pille
possess,besitzen
raw,roh
rebel,Rebell
royal,königlich
scale,Skala
scary,beängstigend
several,mehrere
slight,leicht
stubborn,hartnäckig
swell,anschwellen
talent,Talent
tea,Tee
terrible,schrecklich
they'd,Sie würden
thread,Faden
thy,deine
torment,quälen
trickle,Rinnsal
usually,normalerweise
vast,groß
violence,Gewalt
weave,weben
yea,Ja
acid,Säure
agony,Qual
ashamed,beschämt
awe,Scheu
belly,Bauch
blend,Mischung
blush,erröten
Catholic,katholisch
character,Charakter
cheat,schummeln
common,gemeinsam
company,Unternehmen
coward,Feigling
creak,knarren
danger,Gefahr
deadly,tötlich
defense,Verteidigung
define,definieren
depend,abhängen
desperate,verzweifelt
destination,Ziel
dew,Tau
duck,Ente
dusty,staubig
embarrass,in Verlegenheit bringen
engine,Motor
example,Beispiel
explore,erkunden
foe,Feind
freely,frei
frustrate,vereiteln
generation,Generation
glove,Handschuh
guilty,schuldig
hasn't,hat nicht
health,Gesundheit
hurry,beeil dich
idiot,Idiot
impossible,unmöglich
inhale,einatmen
jaw,Kiefer
kingdom,Königreich
mention,erwähnen
mist,Nebel
moan,jammern
mumble,murmeln
mutter,murmeln
observe,beobachten
ode,Ode
pathetic,erbärmlich
pattern,Muster
pie,Kuchen
prefer,bevorzugen
puff,Puff
rape,vergewaltigen
rare,selten
revenge,Rache
rude,unhöflich
scrape,kratzen
sip,Schluck
spiral,Spiral-
squeeze,quetschen
strain,Beanspruchung
sunset,Sonnenuntergang
suspend,aussetzen
sympathy,Sympathie
thigh,Oberschenkel
thou,du
throne,Thron
total,gesamt
unseen,ungesehen
weapon,Waffe
weary,müde